"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U6";"BGA9_BMM350_BOS";1;"BMM350";;;
2;"U5";"QFN10_BMP581_BOS";1;"BMP581";;;
3;"C24";"CAPC2012X55N";1;"2.2u";;;
4;"C23,C22,C21,C20,C19,C18,C13,C5,C9,C12,C14,C7,C11,C16,C6,C15";"C_0402_1005Metric";16;"100n";;;
5;"U4";"PQFN50P450X300X100-16N";1;"BMI088";;;
6;"C4,C1,C17";"C_0805_2012Metric";3;"10u";;;
7;"J1";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified";1;"USB_B_Micro";;;
8;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
9;"J3,J4";"PinHeader_2x18_P2.54mm_Vertical";2;"Conn_02x18_Odd_Even";;;
10;"C10,C8";"C_0402_1005Metric";2;"1u";;;
11;"R2";"R_0402_1005Metric";1;"DNF";;;
12;"U1";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
13;"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
14;"R1,R5";"R_0402_1005Metric";2;"1k";;;
15;"R3,R4";"R_0402_1005Metric";2;"27";;;
16;"U3";"RP2040-QFN-56";1;"RP2040";;;
17;"H2,H3,H1,H4";"MountingHole_2.7mm_M2.5";4;"MountingHole";;;
18;"C2,C3";"C_0402_1005Metric";2;"15p";;;
19;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABM8-272-T3";;;
