#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 9119, 6,    -0.14, 3,   boost,   37.46,  99464.00,  156.08,   24.31,   51.78, 33.5, 4.15, 4.15, 4.18
6, 9119, 6,    -0.13, 3,   boost,   39.41,  99448.00,  157.43,   25.66,   52.53, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,    -0.12, 3,   boost,   41.43,  99444.00,  157.77,   26.00,   53.30, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,    -0.11, 3,   boost,   43.51,  99423.00,  159.54,   27.77,   54.07, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,    -0.10, 3,   boost,   45.67,  99423.00,  159.54,   27.77,   54.85, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,    -0.09, 3,   boost,   47.88,  99412.00,  160.47,   28.70,   55.64, 33.5, 4.15, 4.17, 4.20
6, 9119, 6,    -0.08, 3,   boost,   50.14,  99396.00,  161.83,   30.06,   56.44, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,    -0.07, 3,   boost,   52.46,  99392.00,  162.16,   30.39,   57.24, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,    -0.06, 3,   boost,   54.82,  99380.00,  163.18,   31.41,   58.06, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,    -0.05, 3,   boost,   57.21,  99365.00,  164.45,   32.68,   58.88, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,    -0.04, 3,   boost,   59.63,  99355.00,  165.29,   33.52,   59.71, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,    -0.03, 3,   boost,   62.07,  99351.00,  165.63,   33.86,   60.55, 33.5, 4.15, 4.15, 4.18
6, 9119, 6,    -0.02, 3,   boost,   64.52,  99340.00,  166.56,   34.79,   61.40, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,    -0.01, 3,   boost,   66.96,  99339.00,  166.65,   34.88,   62.25, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.00, 3,   boost,   69.39,  99328.00,  167.58,   35.81,   63.11, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.01, 3,   boost,   71.79,  99299.00,  170.03,   38.26,   63.99, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.02, 3,   boost,   74.16,  99301.00,  169.86,   38.09,   64.87, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,     0.03, 3,   boost,   76.47,  99302.00,  169.78,   38.01,   65.75, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,     0.04, 3,   boost,   78.72,  99285.00,  171.22,   39.44,   66.65, 33.5, 4.17, 4.17, 4.18
6, 9119, 6,     0.05, 3,   boost,   80.90,  99281.00,  171.55,   39.78,   67.55, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,     0.06, 3,   boost,   83.00,  99276.00,  171.98,   40.21,   68.46, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,     0.07, 3,   boost,   85.00,  99258.00,  173.50,   41.73,   69.38, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,     0.08, 3,   boost,   86.89,  99254.00,  173.84,   42.07,   70.30, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,     0.09, 3,   boost,   88.67,  99248.00,  174.35,   42.58,   71.24, 33.5, 4.15, 4.17, 4.18
6, 9119, 6,     0.10, 3,   boost,   90.34,  99252.00,  174.01,   42.24,   72.18, 33.5, 4.15, 4.17, 4.21
6, 9119, 6,     0.11, 3,   boost,   91.87,  99226.00,  176.21,   44.44,   73.12, 33.5, 4.17, 4.15, 4.18
6, 9119, 6,     0.12, 3,   boost,   93.29,  99226.00,  176.21,   44.44,   74.07, 33.5, 4.15, 4.15, 4.18
6, 9119, 6,     0.13, 3,   boost,   94.57,  99215.00,  177.14,   45.37,   75.03, 33.4, 4.17, 4.17, 4.18
6, 9119, 6,     0.14, 3,   boost,   95.72,  99198.00,  178.58,   46.81,   76.00, 33.4, 4.17, 4.17, 4.18
6, 9119, 6,     0.15, 3,   boost,   96.75,  99212.00,  177.39,   45.62,   76.97, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.16, 3,   boost,   97.65,  99191.00,  179.17,   47.40,   77.95, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.17, 3,   boost,   98.44,  99180.00,  180.10,   48.33,   78.94, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.18, 3,   boost,   99.11,  99178.00,  180.27,   48.50,   79.93, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.19, 3,   boost,   99.69,  99156.00,  182.14,   50.37,   80.93, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.20, 3,   boost,  100.16,  99141.00,  183.41,   51.64,   81.93, 33.4, 4.17, 4.17, 4.18
6, 9119, 6,     0.21, 3,   boost,  100.56,  99154.00,  182.31,   50.54,   82.94, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.22, 3,   boost,  100.88,  99135.00,  183.92,   52.15,   83.95, 33.4, 4.15, 4.15, 4.18
6, 9119, 6,     0.23, 3,   boost,  101.13,  99135.00,  183.92,   52.15,   84.97, 33.4, 4.15, 4.15, 4.18
6, 9119, 6,     0.24, 3,   boost,  101.33,  99122.00,  185.02,   53.25,   86.00, 33.4, 4.17, 4.17, 4.18
6, 9119, 6,     0.25, 3,   boost,  101.49,  99107.00,  186.29,   54.52,   87.03, 33.4, 4.17, 4.17, 4.18
6, 9119, 6,     0.26, 3,   boost,  101.62,  99091.00,  187.65,   55.87,   88.06, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.27, 3,   boost,  101.72,  99076.00,  188.92,   57.15,   89.10, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.28, 3,   boost,  101.80,  99058.00,  190.44,   58.67,   90.14, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.29, 3,   boost,  101.87,  99053.00,  190.87,   59.10,   91.19, 33.4, 4.17, 4.15, 4.18
6, 9119, 6,     0.30, 3,   boost,  101.94,  99035.00,  192.39,   60.62,   92.24, 33.4, 4.17, 4.17, 4.18
6, 9119, 6,     0.31, 3,   boost,  102.02,  99015.00,  194.09,   62.32,   93.29, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.32, 3,   boost,  102.09,  99001.00,  195.28,   63.51,   94.35, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.33, 3,   boost,  102.18,  98990.00,  196.21,   64.44,   95.41, 33.4, 4.15, 4.15, 4.18
6, 9119, 6,     0.34, 3,   boost,  102.27,  98990.00,  196.21,   64.44,   96.47, 33.4, 4.17, 4.15, 4.18
6, 9119, 6,     0.35, 3,   boost,  102.38,  98986.00,  196.55,   64.78,   97.53, 33.4, 4.17, 4.17, 4.18
6, 9119, 6,     0.36, 3,   boost,  102.49,  98960.00,  198.75,   66.98,   98.60, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.37, 3,   boost,  102.58,  98948.00,  199.77,   68.00,   99.67, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.38, 3,   boost,  102.64,  98926.00,  201.64,   69.87,  100.74, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.39, 3,   boost,  102.67,  98923.00,  201.89,   70.12,  101.81, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.40, 3,   boost,  102.68,  98898.00,  204.02,   72.25,  102.88, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.41, 3,   boost,  102.66,  98893.00,  204.44,   72.67,  103.96, 33.4, 4.17, 4.17, 4.18
6, 9119, 6,     0.42, 3,   boost,  102.61,  98870.00,  206.39,   74.62,  105.03, 33.4, 4.15, 4.17, 4.18
6, 9119, 6,     0.43, 3,   boost,  102.54,  98864.00,  206.90,   75.13,  106.10, 33.4, 4.15, 4.15, 4.18
