time,state_name,acceleration,height,speed
-0.3,   boost,1.03,0,0
-0.29,   boost,0.52,0,0.01
-0.28,   boost,0.52,0,0.01
-0.27,   boost,0.52,0.42,0.02
-0.26,   boost,1.03,0.42,0.02
-0.25,   boost,-2.06,0.42,0.02
-0.24,   boost,3.1,0.42,0.03
-0.23,   boost,-1.55,0.42,0.03
-0.22,   boost,0,-0.59,0.03
-0.21,   boost,1.03,-0.59,0.02
-0.2,   boost,-2.58,-0.59,0.02
-0.19,   boost,-0.52,-0.59,0.02
-0.18,   boost,0,-0.59,0.01
-0.17,   boost,1.03,-1.18,0.01
-0.16,   boost,-0.52,-1.18,0.01
-0.15,   boost,1.55,-1.18,0.01
-0.14,   boost,-2.58,-1.18,0.01
-0.13,   boost,-1.03,-1.18,0.01
-0.12,   boost,1.55,0.59,0.01
-0.11,   boost,1.03,0.59,0.01
-0.1,   boost,1.03,0.59,0.02
-0.09,   boost,0.52,0.59,0.02
-0.08,   boost,0,0.59,0.02
-0.07,   boost,-2.06,-0.25,0.05
-0.06,   boost,1.03,-0.25,0.13
-0.05,   boost,-1.55,-0.25,0.32
-0.04,   boost,30.97,-0.25,0.69
-0.03,   boost,98.07,-0.25,1.24
-0.02,   boost,115.1,-0.42,1.96
-0.01,   boost,87.23,-0.42,2.78
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
0,   boost,74.84,-0.42,3.63
