Altitude (m),Vertical velocity (m/s)
0.001,0.299
0.008,1.061
0.023,1.831
0.045,2.605
0.075,3.381
0.113,4.159
0.158,4.933
0.211,5.7
0.272,6.461
0.34,7.225
0.417,7.997
0.5,8.778
0.592,9.567
0.692,10.364
0.799,11.17
0.915,11.983
1.039,12.799
1.171,13.617
1.311,14.437
1.46,15.258
1.617,16.081
1.782,16.904
1.955,17.729
2.136,18.555
2.326,19.381
2.524,20.209
2.73,21.037
2.945,21.866
3.167,22.697
3.398,23.528
3.638,24.36
4.013,25.601
4.61,27.468
5.584,30.281
7.203,34.474
9.032,38.705
11.074,42.971
13.33,47.271
15.802,51.597
18.49,55.934
21.396,60.281
24.519,64.645
27.861,69.024
31.422,73.407
35.202,77.787
39.2,82.142
43.415,86.48
47.848,90.822
52.498,95.173
57.365,99.525
62.451,103.887
67.754,108.268
73.278,112.664
79.021,117.057
84.983,121.432
91.163,125.769
97.558,130.05
104.166,134.253
110.982,138.384
117.747,142.322
124.352,146.04
131.755,150.085
139.36,154.121
147.167,158.129
154.219,161.628
161.991,165.351
170.355,169.201
178.91,172.975
187.651,176.685
196.577,180.333
205.683,183.913
214.949,186.707
222.829,188.073
231.837,189.195
241.312,189.8
250.672,189.579
260.132,188.821
269.548,187.844
277.782,186.928
287.102,185.854
296.367,184.78
305.579,183.701
314.737,182.622
323.842,181.555
332.893,180.507
341.893,179.473
350.841,178.447
359.738,177.424
368.583,176.401
377.378,175.378
386.121,174.362
394.814,173.358
403.457,172.369
412.051,171.395
420.597,170.426
429.094,169.456
437.542,168.481
445.942,167.506
454.293,166.54
462.596,165.593
470.852,164.661
479.062,163.737
487.226,162.812
495.343,161.88
503.414,160.949
511.439,160.028
519.417,159.117
527.35,158.216
535.239,157.323
543.083,156.434
550.882,155.547
558.638,154.661
566.349,153.78
574.016,152.904
581.639,152.037
589.219,151.175
596.757,150.317
604.251,149.463
611.703,148.612
619.112,147.767
626.48,146.924
633.805,146.085
641.088,145.253
648.33,144.427
655.531,143.607
662.691,142.793
669.81,141.979
676.889,141.167
683.927,140.355
690.925,139.546
697.882,138.743
704.799,137.944
711.676,137.147
718.514,136.355
725.312,135.569
732.071,134.791
738.791,134.02
745.473,133.253
752.116,132.489
758.722,131.723
765.289,130.953
771.817,130.184
778.307,129.421
784.759,128.664
791.174,127.913
797.551,127.168
803.89,126.427
810.193,125.689
816.459,124.955
822.689,124.224
828.882,123.49
835.038,122.757
841.158,122.028
847.241,121.303
853.288,120.583
859.299,119.865
865.274,119.146
871.214,118.431
877.118,117.72
882.986,117.012
888.819,116.306
894.617,115.603
900.379,114.903
906.107,114.205
911.8,113.508
917.458,112.817
923.082,112.133
928.671,111.451
934.227,110.769
939.748,110.086
945.235,109.404
950.688,108.722
956.108,108.042
961.493,107.365
966.844,106.694
972.162,106.027
977.447,105.363
982.698,104.701
987.917,104.04
993.103,103.384
998.255,102.729
1003.375,102.076
1008.463,101.421
1013.518,100.763
1018.539,100.105
1023.528,99.45
1028.484,98.799
1033.408,98.154
1038.3,97.516
1043.16,96.883
1047.988,96.252
1052.785,95.624
1057.551,94.997
1062.285,94.367
1066.987,93.732
1071.658,93.098
1076.297,92.464
1080.904,91.829
1085.48,91.193
1090.024,90.562
1094.536,89.938
1099.018,89.319
1103.468,88.707
1107.888,88.1
1112.278,87.496
1116.638,86.893
1120.968,86.289
1125.267,85.684
1129.536,85.077
1133.775,84.468
1137.983,83.857
1142.16,83.242
1146.307,82.627
1150.423,82.015
1154.509,81.41
1158.564,80.811
1162.59,80.218
1166.586,79.629
1170.553,79.045
1174.491,78.464
1178.399,77.885
1182.279,77.304
1186.13,76.722
1189.951,76.137
1193.743,75.546
1197.506,74.952
1201.238,74.356
1204.941,73.759
1208.614,73.167
1212.258,72.581
1215.873,72.002
1219.458,71.428
1223.016,70.863
1226.545,70.303
1230.046,69.744
1233.519,69.186
1236.965,68.625
1240.382,68.061
1243.771,67.491
1247.131,66.917
1250.462,66.34
