Altitude (m),Vertical velocity (m/s)
0.002,0.305
0.008,1.088
0.023,1.878
0.046,2.672
0.077,3.469
0.115,4.268
0.162,5.062
0.217,5.85
0.279,6.631
0.349,7.415
0.427,8.207
0.513,9.009
0.608,9.819
0.71,10.638
0.82,11.465
0.939,12.3
1.066,13.138
1.202,13.978
1.346,14.819
1.498,15.663
1.659,16.507
1.829,17.353
2.006,18.2
2.193,19.047
2.387,19.896
2.59,20.746
2.802,21.596
3.022,22.448
3.251,23.3
3.488,24.154
3.734,25.008
4.119,26.291
4.732,28.22
5.734,31.126
7.398,35.459
9.281,39.831
11.382,44.24
13.705,48.684
16.252,53.159
19.022,57.649
22.017,62.154
25.238,66.683
28.686,71.234
32.362,75.799
36.266,80.371
40.398,84.928
44.759,89.479
49.347,94.045
54.164,98.631
59.21,103.224
64.486,107.825
69.993,112.438
75.73,117.058
81.698,121.662
87.698,126.1
94.117,130.643
100.761,135.137
107.629,139.566
114.717,143.935
122.021,148.261
129.126,152.321
136.848,156.593
144.784,160.844
152.932,165.058
159.978,168.577
167.811,172.366
176.531,176.435
185.453,180.436
193.197,183.788
200.305,186.774
209.74,190.616
219.359,194.125
228.918,196.172
238.761,197.534
248.659,198.389
258.578,198.386
268.481,197.736
278.344,196.762
288.155,195.706
289.131,195.596
290.594,195.431
292.786,195.183
296.068,194.813
300.981,194.258
308.323,193.426
317.966,192.327
327.555,191.231
337.09,190.146
346.57,189.074
355.997,188.017
365.372,186.969
374.694,185.925
383.964,184.882
393.183,183.842
402.349,182.81
411.464,181.79
420.528,180.782
429.542,179.782
438.506,178.786
447.421,177.793
456.286,176.804
465.101,175.823
473.868,174.851
482.586,173.889
491.257,172.935
499.88,171.986
508.456,171.037
516.984,170.089
525.465,169.146
533.898,168.212
542.286,167.289
550.628,166.378
558.924,165.473
567.175,164.57
575.381,163.666
583.541,162.763
591.657,161.864
599.728,160.972
607.754,160.089
615.737,159.216
623.676,158.35
631.572,157.488
639.425,156.626
647.235,155.765
655.001,154.907
662.725,154.054
670.407,153.208
678.046,152.369
685.644,151.536
693.2,150.706
700.715,149.88
708.188,149.055
715.62,148.233
723.011,147.415
730.362,146.602
737.672,145.795
744.941,144.993
752.171,144.195
759.361,143.402
766.511,142.611
773.622,141.821
780.693,141.034
787.725,140.249
794.718,139.468
801.672,138.695
808.588,137.928
815.465,137.164
822.304,136.405
829.106,135.647
835.869,134.889
842.595,134.129
849.282,133.371
855.932,132.617
862.544,131.87
869.119,131.129
875.657,130.396
882.158,129.667
888.624,128.94
895.052,128.212
901.445,127.484
907.801,126.757
914.121,126.032
920.404,125.31
926.652,124.592
932.863,123.878
939.04,123.17
945.18,122.466
951.286,121.765
957.357,121.068
963.393,120.369
969.394,119.672
975.36,118.974
981.291,118.278
987.188,117.584
993.05,116.894
998.877,116.208
1004.671,115.527
1010.43,114.849
1016.156,114.175
1021.848,113.505
1027.506,112.837
1033.131,112.169
1038.723,111.5
1044.282,110.832
1049.806,110.163
1055.298,109.496
1060.756,108.834
1066.181,108.176
1071.574,107.521
1076.933,106.868
1082.261,106.218
1087.555,105.57
1092.818,104.925
1098.048,104.281
1103.246,103.638
1108.412,102.995
1113.545,102.354
1118.647,101.713
1123.717,101.074
1128.754,100.436
1133.76,99.801
1138.735,99.171
1143.677,98.543
1148.589,97.917
1153.469,97.294
1158.318,96.672
1163.136,96.052
1167.923,95.434
1172.68,94.818
1177.405,94.202
1182.1,93.586
1186.764,92.97
1191.397,92.354
1195.999,91.739
1200.571,91.128
1205.112,90.521
1209.623,89.916
1214.104,89.313
1218.554,88.713
1222.975,88.115
1227.366,87.519
1231.727,86.922
1236.058,86.326
1240.36,85.731
1244.631,85.137
1248.873,84.545
1253.086,83.953
1257.269,83.361
1261.422,82.77
1265.546,82.18
1269.64,81.591
1273.705,81.003
1277.74,80.417
1281.746,79.833
1285.724,79.252
1289.672,78.673
1293.591,78.097
1297.481,77.523
1301.343,76.952
1305.177,76.381
1308.981,75.812
1312.758,75.245
1316.506,74.678
1320.226,74.111
1323.917,73.544
1327.58,72.975
1331.215,72.406
1334.821,71.839
1338.398,71.272
1341.948,70.705
1345.469,70.139
1348.962,69.575
1352.427,69.014
1355.863,68.455
1359.272,67.898
1362.653,67.344
1366.006,66.79
1369.332,66.238
1372.63,65.686
1375.901,65.135
1379.144,64.585
1382.359,64.036
1385.547,63.488
1388.708,62.939
1391.841,62.39
1394.947,61.84
1398.025,61.29
1401.076,60.743
1404.1,60.199
1407.096,59.656
1410.065,59.112
1413.007,58.57
1415.922,58.028
1418.81,57.489
1421.671,56.95
1424.505,56.413
1427.313,55.877
1430.093,55.343
1432.847,54.81
1435.574,54.277
1438.275,53.746
1440.949,53.216
1443.596,52.687
1446.217,52.157
1448.812,51.628
1451.38,51.098
1453.922,50.567
1456.437,50.037
1458.925,49.506
1461.387,48.976
1463.823,48.446
1466.232,47.917
1468.615,47.388
1470.971,46.862
1473.301,46.338
1475.605,45.816
1477.882,45.294
1480.134,44.773
1482.36,44.254
1484.56,43.736
1486.733,43.22
1488.882,42.705
1491.004,42.188
1493.1,41.672
1495.171,41.157
1497.216,40.642
1499.235,40.128
1501.229,39.613
1503.197,39.097
1505.139,38.58
1507.055,38.065
1508.945,37.55
1510.81,37.036
1512.649,36.521
1514.462,36.006
1516.249,35.493
1518.011,34.98
1519.747,34.468
1521.458,33.957
1523.143,33.445
1524.802,32.935
1526.437,32.426
1528.045,31.917
1529.628,31.41
1531.186,30.904
1532.719,30.4
1534.226,29.897
1535.708,29.397
1537.166,28.897
1538.598,28.398
1540.006,27.899
1541.388,27.401
1542.746,26.902
1544.078,26.403
1545.386,25.904
1546.669,25.404
1547.926,24.905
1549.159,24.406
1550.367,23.908
1551.55,23.409
1552.708,22.909
1553.841,22.41
1554.949,21.911
1556.032,21.413
1557.09,20.914
1558.124,20.416
1559.132,19.917
1560.115,19.418
1561.074,18.919
1562.007,18.42
1562.916,17.922
1563.799,17.425
1564.658,16.927
1565.492,16.43
1566.301,15.933
1567.085,15.438
1567.845,14.943
1568.58,14.449
1569.29,13.955
1569.975,13.463
1570.636,12.972
1571.272,12.481
1571.884,11.99
1572.471,11.5
1573.034,11.01
1573.573,10.521
1574.086,10.032
1574.576,9.543
1575.041,9.055
1575.481,8.567
