#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6,9119,3,-0.14,3,boost,26.99,98300,254.91,22.58,36.86,31.8,4.12,4.12,4.14
6,9119,3,-0.13,3,boost,28.41,98297,255.16,22.84,37.4,31.8,4.12,4.12,4.14
6,9119,3,-0.12,3,boost,29.88,98286,256.1,23.78,37.94,31.8,4.12,4.12,4.14
6,9119,3,-0.11,3,boost,31.4,98278,256.78,24.46,38.49,31.8,4.12,4.12,4.15
6,9119,3,-0.1,3,boost,32.97,98280,256.61,24.29,39.04,31.8,4.12,4.12,4.15
6,9119,3,-0.09,3,boost,34.58,98273,257.21,24.89,39.6,31.8,4.12,4.12,4.14
6,9119,3,-0.08,3,boost,36.23,98262,258.15,25.82,40.17,31.8,4.12,4.12,4.14
6,9119,3,-0.07,3,boost,37.93,98264,257.98,25.65,40.75,31.8,4.12,4.12,4.14
6,9119,3,-0.06,3,boost,39.65,98244,259.69,27.36,41.33,31.8,4.12,4.12,4.14
6,9119,3,-0.05,3,boost,41.41,98240,260.03,27.7,41.92,31.8,4.12,4.12,4.14
6,9119,3,-0.04,3,boost,43.19,98234,260.54,28.21,42.51,31.8,4.12,4.12,4.14
6,9119,3,-0.03,3,boost,44.98,98222,261.56,29.24,43.11,31.8,4.12,4.12,4.14
6,9119,3,-0.02,3,boost,46.78,98219,261.82,29.5,43.72,31.8,4.12,4.12,4.14
6,9119,3,-0.01,3,boost,48.58,98209,262.67,30.35,44.33,31.8,4.12,4.12,4.14
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0,3,boost,50.38,98200,263.44,31.12,44.95,31.8,4.12,4.11,4.15
6,9119,3,0.01,3,boost,52.16,98199,263.53,31.2,45.57,31.8,4.12,4.11,4.15
6,9119,3,0.02,3,boost,53.91,98193,264.04,31.71,46.21,31.8,4.12,4.12,4.14
